millisecs |yr|mo|da|hr|mi|se|volt   |ampere |watt   
0000023387|21|02|23|10|03|38|039.778|000.059|002.356
0000023487|21|02|23|10|03|38|039.772|000.103|004.123
0000023588|21|02|23|10|03|39|039.762|000.088|003.533
0000023687|21|02|23|10|03|39|039.762|000.074|002.944
0000023787|21|02|23|10|03|39|039.751|000.111|004.415
0000023887|21|02|23|10|03|39|039.746|000.103|004.120
0000023987|21|02|23|10|03|39|039.778|000.140|005.596
0000024087|21|02|23|10|03|39|039.778|000.074|002.945
0000024187|21|02|23|10|03|39|039.762|000.088|003.533
0000024288|21|02|23|10|03|39|039.751|000.125|005.004
0000024387|21|02|23|10|03|39|039.740|000.177|007.063
0000024487|21|02|23|10|03|39|039.730|000.162|006.472
0000024588|21|02|23|10|03|40|039.756|000.118|004.710
0000024687|21|02|23|10|03|40|039.767|000.111|004.417
0000024787|21|02|23|10|03|40|039.762|000.125|005.005
0000024888|21|02|23|10|03|40|039.783|000.088|003.535
0000024987|21|02|23|10|03|40|039.751|000.096|003.826
0000025087|21|02|23|10|03|40|039.767|000.118|004.711
0000025188|21|02|23|10|03|40|039.746|000.059|002.354
0000025287|21|02|23|10|03|40|039.762|000.133|005.300
0000025387|21|02|23|10|03|40|039.746|000.118|004.709
0000025488|21|02|23|10|03|40|039.762|000.170|006.772
0000025587|21|02|23|10|03|41|039.762|000.081|003.239
0000025687|21|02|23|10|03|41|039.762|000.125|005.005
0000025788|21|02|23|10|03|41|039.756|000.074|002.944
0000025887|21|02|23|10|03|41|039.740|000.088|003.531
0000025987|21|02|23|10|03|41|039.740|000.096|003.825
0000026087|21|02|23|10|03|41|039.762|000.155|006.183
0000026187|21|02|23|10|03|41|039.778|000.096|003.829
0000026287|21|02|23|10|03|41|039.746|000.148|005.886
0000026387|21|02|23|10|03|41|039.756|000.111|004.416
0000026487|21|02|23|10|03|41|039.772|000.111|004.418
0000026587|21|02|23|10|03|42|039.772|000.088|003.534
0000026687|21|02|23|10|03|42|039.751|000.096|003.826
0000026787|21|02|23|10|03|42|039.772|000.059|002.356
0000026887|21|02|23|10|03|42|039.746|000.103|004.120
0000026987|21|02|23|10|03|42|039.767|000.103|004.122
0000027087|21|02|23|10|03|42|039.756|000.125|005.005
0000027187|21|02|23|10|03|42|039.756|000.081|003.238
0000027287|21|02|23|10|03|42|039.767|000.074|002.944
0000027387|21|02|23|10|03|42|039.751|000.059|002.355
0000027488|21|02|23|10|03|42|039.756|000.074|002.944
0000027587|21|02|23|10|03|43|039.767|000.118|004.711
0000027687|21|02|23|10|03|43|039.778|000.096|003.829
0000027788|21|02|23|10|03|43|039.735|000.074|002.942
0000027887|21|02|23|10|03|43|039.756|000.118|004.710
0000027987|21|02|23|10|03|43|039.730|000.066|002.647
0000028088|21|02|23|10|03|43|039.692|000.229|009.112
0000028187|21|02|23|10|03|43|039.676|000.473|018.804
0000028287|21|02|23|10|03|43|039.432|001.184|046.722
0000028388|21|02|23|10|03|43|039.533|000.836|033.082
0000028487|21|02|23|10|03|43|039.645|000.422|016.734
0000028587|21|02|23|10|03|44|039.719|000.318|012.648
0000028688|21|02|23|10|03|44|039.687|000.325|012.931
0000028787|21|02|23|10|03|44|039.655|000.488|019.382
0000028887|21|02|23|10|03|44|039.533|000.888|035.131
0000028988|21|02|23|10|03|44|039.490|001.007|039.772
0000029087|21|02|23|10|03|44|039.762|000.133|005.300
0000029187|21|02|23|10|03|44|039.299|001.688|066.354
0000029287|21|02|23|10|03|44|038.767|004.058|157.326
0000029387|21|02|23|10|03|44|039.379|001.310|051.616
0000029487|21|02|23|10|03|44|039.740|000.081|003.237
0000029587|21|02|23|10|03|45|039.708|000.125|004.999
0000029687|21|02|23|10|03|45|039.682|000.459|018.219
0000029787|21|02|23|10|03|45|039.560|000.673|026.659
0000029887|21|02|23|10|03|45|039.645|000.459|018.202
0000029987|21|02|23|10|03|45|039.708|000.244|009.704
0000030087|21|02|23|10|03|45|039.692|000.318|012.639
0000030187|21|02|23|10|03|45|039.634|000.733|029.057
0000030287|21|02|23|10|03|45|039.496|001.029|040.655
0000030387|21|02|23|10|03|45|039.655|000.533|021.144
0000030487|21|02|23|10|03|45|039.671|000.629|024.971
0000030587|21|02|23|10|03|46|039.650|000.414|016.443
0000030688|21|02|23|10|03|46|039.692|000.348|013.815
0000030787|21|02|23|10|03|46|039.650|000.392|015.562
0000030887|21|02|23|10|03|46|039.682|000.222|008.815
0000030988|21|02|23|10|03|46|039.756|000.096|003.827
0000031087|21|02|23|10|03|46|039.740|000.148|005.885
0000031187|21|02|23|10|03|46|039.655|000.533|021.144
0000031288|21|02|23|10|03|46|039.294|002.014|079.149
0000031387|21|02|23|10|03|46|039.166|002.332|091.364
0000031487|21|02|23|10|03|46|038.879|002.503|097.316
0000031588|21|02|23|10|03|47|039.065|002.421|094.600
0000031687|21|02|23|10|03|47|039.283|001.688|066.327
0000031787|21|02|23|10|03|47|039.384|001.384|054.540
0000031888|21|02|23|10|03|47|039.331|001.606|063.204
0000031987|21|02|23|10|03|47|039.166|002.029|079.472
0000032087|21|02|23|10|03|47|039.272|001.955|076.779
0000032188|21|02|23|10|03|47|039.400|000.992|039.098
0000032287|21|02|23|10|03|47|039.549|000.525|020.794
0000032387|21|02|23|10|03|47|039.533|000.844|033.374
0000032487|21|02|23|10|03|47|039.437|001.007|039.719
0000032587|21|02|23|10|03|48|039.331|001.495|058.835
0000032687|21|02|23|10|03|48|039.251|001.888|074.122
0000032787|21|02|23|10|03|48|039.320|001.599|062.896
0000032887|21|02|23|10|03|48|039.368|001.414|055.684
0000032987|21|02|23|10|03|48|039.363|001.495|058.883
0000033087|21|02|23|10|03|48|039.299|001.740|068.391
0000033187|21|02|23|10|03|48|039.432|001.029|040.589
0000033287|21|02|23|10|03|48|039.522|000.829|032.780
0000033387|21|02|23|10|03|48|039.464|000.940|037.115
0000033487|21|02|23|10|03|48|039.464|000.977|038.577
0000033587|21|02|23|10|03|49|039.501|000.851|033.640
